"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"12744991",NA,"wearable","1625185869","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x16881994542ddf471832c07121a0942643dc9d3d208c4d75091667cbec161fcb",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_greengarment_hat/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744991",NA,"wearable","1625185869","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x164cec0a571a2c86ba021e3433fc81a8774ed8ace643eafd125304fdb1c92361",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_greengarment_upper_body/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744991",NA,"wearable","1625185869","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x02aa29ab8e53e02f900a27b116d78b26ea250b35605a294371da25126b490c5e",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_yellowgarment_hat/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744991",NA,"wearable","1625185869","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x0a381f8797f7527821a06cd961f39566ae942abf7ce72393d6b15eba4264fab2",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_greengarment_lower_body/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744991",NA,"wearable","1625185869","0x32b7495895264ac9d0b12d32afd435453458b1c6","85000000000000000000","open","0xfde57575d141df82d7c0248c8f6ad8b69c2f22c6b473f395c8252b03c888d386",85,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_tuxedo_tshirt_upper_body/thumbnail","0x8a3e1e7b0be3694e08d8d45fed3414022f8370d1","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744991",NA,"wearable","1625185869","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x8e7b565c6e7a9ca4dd6b284624b54f27723adcb7a068554579fdc1f458b5a7e2",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_yellowgarment_lower_body/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744990",NA,"wearable","1625185866","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x04c3134cd47166ac4dbfedae892c95fd1f040d056218370a12ce21b773e84608",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_bluegarment_lower_body/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744990",NA,"wearable","1625185866","0x32b7495895264ac9d0b12d32afd435453458b1c6","295000000000000000000","open","0x760c37acf93fcad45046a3bfcf30406ad6307482674591880656e12848234fdb",295,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_orangegarment_upper_body/thumbnail","0xc7c302fc0b8f11f1c32a22adf96d2fbdddbfa191","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12744990",NA,"wearable","1625185866","0x32b7495895264ac9d0b12d32afd435453458b1c6","165000000000000000000","open","0xfa2a66b98a98febcd1eec8581231fc0710fdaa95af48b588df087d7eda3f6fcc",165,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_city_sneakers_feet/thumbnail","0x8a3e1e7b0be3694e08d8d45fed3414022f8370d1","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12750270","0xf309921083cdaeb3758bc8c24a4156edfa64ca2f","wearable","1625165411","0x6b47e7066c7db71aa04a1d5872496fe05c4c331f","200000000000000000000","sold","0xa639cd3367428e42918e486343a05deeeedb4dc34923f03430348c2b785e8aed",200,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:rtfkt_x_atari:p_rtfkt_x_atari_feet/thumbnail","0xf309921083cdaeb3758bc8c24a4156edfa64ca2f","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12738628",NA,"parcel","1625099263","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","11888000000000000000000","cancelled","0x0ce6d1a059f45cabc6805d24dd0b6ae56962ac2a58bd2ee9358708449df9dfe5",11888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12738612",NA,"estate","1625099026","0x959e104e1a4db6317fa58f8295f586e1a978c297","33333000000000000000000","cancelled","0x770348824e995e21867e5594ee5a419d6c4e750f5300d1a9c3785b629c3bf9c1",33333,"https://api.decentraland.org/v1/estates/4179/map.png","0x0fbdd52f2d91999459169bbba3688e95bcdb8438","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12738523",NA,"estate","1625097827","0x959e104e1a4db6317fa58f8295f586e1a978c297","22499000000000000000000","cancelled","0x64da52749cdaae3d0a97efa5c9b219edad224e56619d70bd71083e44f7bd96ca",22499,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12749930","0x667d7b03958543a03c4018310093722f33353fd8","wearable","1625016438","0xfeb52cbf71b9adac957c6f948a6cf9980ac8c907","235000000000000000000","sold","0x24b65c7ba9fd5cea6a6c2c4e1982e4d891e031899614da153e090eb01e0ff2fb",235,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:halloween_2020:hwn_2020_ddlm_03_eyes/thumbnail","0x667d7b03958543a03c4018310093722f33353fd8","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12729920",NA,"parcel","1624982736","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","12888000000000000000000","cancelled","0xf69985430586701542c430d2f78a4791b425a4f4b08b2fa7a4d988050f2a4805",12888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12750602","0x1260228ed089557d9138c2f3f676b3b7183b3203","ens","1624920365","0x2a187453064356c898cae034eaed119e1663acb8","75000000000000000000","sold","0x7028665263f12aef13da363471a557a91be55c3acc8b84809c089da43bc0d4b1",75,NA,"0x1260228ed089557d9138c2f3f676b3b7183b3203","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12724467",NA,"estate","1624909756","0x959e104e1a4db6317fa58f8295f586e1a978c297","22888000000000000000000","cancelled","0xfa836729deab09d0a91fc2d3409d823c29606dbe71b17209a84c9e426b3e81d7",22888,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12746317","0xb5ae46bed9a5eca781460def813e1defd26994d6","parcel","1624907271","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","6999000000000000000000","sold","0x89495211faac8213e939a68a53e1fef62b2d0a26ea2f25f8090fcf045632d5a0",6999,"https://api.decentraland.org/v1/parcels/-132/-47/map.png","0xb5ae46bed9a5eca781460def813e1defd26994d6","0","-132","-47",NA,"2021-07-02 23:50:05",2021-07-02
"12723022",NA,"parcel","1624890192","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","13888000000000000000000","cancelled","0x47020442ea3056c5c940394ad652deaefabf3830b6f56aea5f6f6cd21edfe6c3",13888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12718793",NA,"parcel","1624833248","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","13888000000000000000000","cancelled","0x7349320a05eaa091d756d2d7f30e246db493ee1391dd564f0a1c07c9f23a83f9",13888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12717769",NA,"estate","1624819551","0x959e104e1a4db6317fa58f8295f586e1a978c297","23888000000000000000000","cancelled","0x4074d66c8589d2800aff6235f7c16f08f2cd6ee3a348d33775766e733e594558",23888,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12717299",NA,"estate","1624813531","0x959e104e1a4db6317fa58f8295f586e1a978c297","24888000000000000000000","cancelled","0x0dbdcbe0242c6da854eb5a1b6a2591b368c0d1dbabdb07d99b3a78884c98bb89",24888,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12717297",NA,"parcel","1624813502","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","14688000000000000000000","cancelled","0x54349a024e16474cd9b60d807c3b8a1edc288252f7659e36154ddc086545e053",14688,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12747320","0x9234ddbf27882ede952d66afc3504b8b9a0b25b1","parcel","1624797574","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4927000000000000000000","sold","0x8fdc3c95cb7e033eacbb2186c1f4c7088c983473cb959289b1c88d7b48d2e1e0",4927,"https://api.decentraland.org/v1/parcels/-36/-32/map.png","0x9234ddbf27882ede952d66afc3504b8b9a0b25b1","0","-36","-32",NA,"2021-07-02 23:50:05",2021-07-02
"12715427",NA,"wearable","1624787623","0xfeb52cbf71b9adac957c6f948a6cf9980ac8c907","299000000000000000000","cancelled","0x97c42ab2c45dcd94e602faa74a1b1e43e8f3286523445df61fcebdcf103241c9",299,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:halloween_2020:hwn_2020_ddlm_03_eyes/thumbnail","0x667d7b03958543a03c4018310093722f33353fd8","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12704921",NA,"estate","1624647033","0x959e104e1a4db6317fa58f8295f586e1a978c297","33750000000000000000000","cancelled","0x4551f5bddafe2f43f0a1d12c4519caecf7a9972c8e91aeab786859b21fc49c9f",33750,"https://api.decentraland.org/v1/estates/4179/map.png","0x0fbdd52f2d91999459169bbba3688e95bcdb8438","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12702746",NA,"wearable","1624617310","0xfeb52cbf71b9adac957c6f948a6cf9980ac8c907","350000000000000000000","cancelled","0xfea3d1fb36187431a8261d1a609bca2e23f3515ac28a5b9c6bea755ec35fbcec",350,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:halloween_2020:hwn_2020_ddlm_03_eyes/thumbnail","0x667d7b03958543a03c4018310093722f33353fd8","0",NA,NA,NA,"2021-07-02 23:50:05",2021-07-02
"12747370","0x42b23bb838525d458f2b8109219ef45d229067b7","parcel","1624593997","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","8662000000000000000000","sold","0x8bd44592eac085ca2f2f32c7e16161d5ea6f0f2361ad31f75c7717ef4255e76d",8662,"https://api.decentraland.org/v1/parcels/71/28/map.png","0x42b23bb838525d458f2b8109219ef45d229067b7","0","71","28",NA,"2021-07-02 23:50:05",2021-07-02
"12700574",NA,"estate","1624587323","0x959e104e1a4db6317fa58f8295f586e1a978c297","24888000000000000000000","cancelled","0xe8d932512c9ce949134076e04296f59f59c0d6d455e2f9171ad8dbc4c93ad097",24888,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12698417",NA,"parcel","1624559158","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","14888000000000000000000","cancelled","0x798037a29c5c0ef2c257b240aac3e88fd7f4b5c884b8d2a1560e9a5454978876",14888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12698199",NA,"parcel","1624556390","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","12888000000000000000000","cancelled","0x47a63e53a3ce7b1b58c7372a4448351ee5a674afe8de426fa28bb3a2276ce3a4",12888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12690806",NA,"estate","1624457420","0x959e104e1a4db6317fa58f8295f586e1a978c297","24887000000000000000000","cancelled","0xf58d3305e5e55ef4b36ebe540403d3b2bafdf2deaa16d11d41d394b8c9b82f11",24887,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12688542",NA,"estate","1624425454","0x959e104e1a4db6317fa58f8295f586e1a978c297","32750000000000000000000","cancelled","0xc35a706aa879f036159b1e50898a9dee98bce824c7bf370822035667e8cee167",32750,"https://api.decentraland.org/v1/estates/4179/map.png","0x0fbdd52f2d91999459169bbba3688e95bcdb8438","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12686306",NA,"estate","1624395179","0x959e104e1a4db6317fa58f8295f586e1a978c297","24888000000000000000000","cancelled","0x1d14e6ccef28d5ce7fbfd5b9b7db12f300bf218e0dbade1205f3410e900c25d9",24888,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
