"createdAt","curatorFeeRewards","deniedAt","id","indexingDelegatorRewardAmount","indexingIndexerRewardAmount","indexingRewardAmount","ipfsHash","originalName","pricePerShare","queryFeeRebates","queryFeesAmount","reserveRatio","schemaIpfsHash","signalAmount","signalledTokens","stakedTokens","unsignalledTokens","date_utc","date_time_utc"
1626375724,"0",0,"0x07a115441341a7c904c3b8c512e0523b72aea72854f11fd236a593555c9f681d","1874131429032553385000","2761209450979292615000","4635340880011846000000","QmNrS2U5DHqn5DJiKKD1ZS4BpHeAGDsKjftHMwX8LqSZqv","Decentraland Marketplace","122.354099156484115765","0","0",500000,"QmXycpdiVbKvtfHhC9qKDfzbnetm9ZJGfYdikfEwDoGvy7","61177049578242057857","3742631395098686750697","2717983900000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626328921,"0",0,"0xbc75203684ed3bcc10c939f80df60a48197dcc2aedf703db0d3d8c7fe3af175a","8378021063574310202762","8000534984106619030328","16378556047680929233090","Qmb2JwfqcRqGAaLX4bo99p3xfAZqd8jWQfbjLLESVNBDVs",NA,"0","0","0",500000,"QmUd24mUgLBrgLdNqTCxCUaFeDc7dygsdms43HjMfRHJAt","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626321038,"0",0,"0xe1ae65da286392e1b0d1e7139306954f04d3f66ee1ff85122e80df824fc85d1f","19942641239322051452632","3696248798783370110383","23638890038105421563015","QmdXcgPPVivyvpS9DitDYAxQr6d2e5PcWisZdKxoje6zDC",NA,"229.512425033415551079","0","0",500000,"QmZnLiDq5z7JdjA1qnWZoySd9h8tGgtQDU7TWgcbWyFKUQ","114756212516707775537","13168988311179798330426","16921384380000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626320949,"0",0,"0x7d5eb56f0066ecba7b6126c789418d1b2d0bb4e62510a11d941599a6e96253b9","0","0","0","QmWn3S3dpyaHzhPU5Hb8i4MJeUvbGTrSumLVr9WKdHT6GG",NA,"34.582626597748546256","0","0",500000,"QmbM7hWtHi6wvvBnBV6GmLJwboNG58Mu2y2ypNPPaGkBPw","17291313298874273128","298989515599826297941","85010000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626285145,"0",0,"0x78f7c93cf30bcbae940f3b2d1608424f6d6d98f3bdc65ef1fb5072b636c97344","3228671816674832994905","1466799740541945766699","4695471557216778761604","QmWUrmzXvEFWD5czhsasPGWHHCqiLSEAXcFVHBaCZJcaDZ","OtoCo","124.9717621755214211","0","0",500000,"QmVvj9cg1M3CgS3Cd3KFA8zrvAD8H2xQjkgV6JL6WbB5m6","62485881087760710531","3904485335313771638338","1400010000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626282707,"365310000000000",0,"0x80f26fb08bfe8f4da90d3cf43103d0fde225951e3aa1dd72dbca7ced446d8a62","2183058692831665005852","522883524735320277913","2705942217566985283765","QmX21Jk6wxeLN2Lbn3RTdmAfHAbW8QYrkbBqbz2vqUvazV","Composable Finance","24.740221211900693536","0","3287790000000000",500000,"QmSUpkJkKqYgh6vvaPRG9mftaN1AJLxBd9CGu7Kawxmj5u","12370081074211806947","153019271092573131706","241300450000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626279161,"0",0,"0xedda4a24c26e2e4657e2b63439121acc4111554b218a2f822218d34507568c5e","481709498608362798782","1121566425853477271768","1603275924461840070550","QmeM8PbQwRSiXr8pddPm91Jocrxy2pVyLeva1aYmBLLpuK","CryptovoxelsParcel (not official)","1.787997795308000528","0","0",500000,"Qmb7CKgt9FpPbn6pgP1gmj9HsniP2pcgDaX9g5jmGXmCZm","893998897654000264","799234029006567639","1000000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626249709,"0",0,"0x9e56cf1f42ede414545274d1968db834c41490042361285d35f6b145c3356297","0","0","0","QmYzjuAQuUhHqTN7VoT73EB3R9jWK3gNjCscTNaXwP1QnA","axie-subgraph","44.158804331639234275","0","0",500000,"QmWeydCQwAgChtqJSsmARQJzEonvzsVmGpPAbNd2jSFvCX","22079402165819617136","487500000000000000000","1071817000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626235618,"0",0,"0x0596c20b7be7d067567cb00652ffb7091a2dadcb797557efcfbab4e592a9b090","373528187062764019000","428651621655873553710","802179808718637572710","QmNiU5YXnQk7ghyWfbqDrKG8ZH5b8ji389YYxhJCjYgeHu","PokeMoon","0","0","0",500000,"QmVuutLtham2T58RkxeaooeF1TFmBJcbHrbNh26Ga6cUnu","0","0","1717749500000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626219430,"0",0,"0x098b3a9b9cb4299e66510822a1ce0c106c145a5724531509c3967077f659b8e4","0","282590265791697382350","282590265791697382350","QmNyuWjzFxSaX9c9WCpWqVYYEo1TCtvfsL9gcqmhx7ArHy","Bot Bait v1","0","0","0",500000,"QmZeWyMirLaNvzrkx5Sqz66otBpu37kWCndYiWYZRtEBKy","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
