"address","TotalProfitLoss","TotalSignalledTokens","TotalUnsignalledTokens","date_utc","date_time_utc"
"0x5b795fd28a8f48150ec5646d23fdc5046f470970",607.291044994305,3328.20608270944,2643.20608270944,2021-07-21,"2021-07-21 02:01:27"
"0x570cf51ac81d5871d7fa72fe1f02eb71670dacfa",607.198388501648,5000,5161.48872785382,2021-07-21,"2021-07-21 02:01:27"
"0xce2f6f6a51f725049d7d56ab11c09a096360398a",553.722830501546,5790,273.901732571631,2021-07-21,"2021-07-21 02:01:27"
"0xba85e7b5fc623014ccd394bbca960b1d8455faee",459.224576271167,1236.23925531907,1695.46383159024,2021-07-21,"2021-07-21 02:01:27"
"0x4c86279e0248665c93ece5d8bdb721f69e04b8fa",449.886894254052,2232.22326677311,2682.11016102716,2021-07-21,"2021-07-21 02:01:27"
"0xd87b0dc908aaf42120d582afcb736fe2aca536fc",429.364234978526,15000,10955.4214102216,2021-07-21,"2021-07-21 02:01:27"
"0x6bf7550bf182b8428e2cf4fc640ed884ff8c7a57",425.21907155385,23722.5760266481,17607.630773578,2021-07-21,"2021-07-21 02:01:27"
"0xbc79c7139c87df965f0f4c24747f326d1864c5af",421.492020463652,2696.13857167003,3117.63059213368,2021-07-21,"2021-07-21 02:01:27"
"0xf8375068f5ddab07033bf5410e1fcf6ef70955a0",412.168315224419,922.609143637757,1334.77745886218,2021-07-21,"2021-07-21 02:01:27"
"0xb2b8252f1ae45ebd6b60942eecf2cb3a92c0be34",387.294763448264,1449.106863267,1296.63666988395,2021-07-21,"2021-07-21 02:01:27"
"0x93f3f612a525a59523e91cc5552f718df9fc0746",371.87076002441,2000,0,2021-07-21,"2021-07-21 02:01:27"
"0x306e558167a3397889a2beb6ce918c6b8be5b3dc",369.257317127153,5400,0,2021-07-21,"2021-07-21 02:01:27"
"0x49c233d25768e462f0474390f653baf40dd592b2",362.719748190942,7685.94902986628,0,2021-07-21,"2021-07-21 02:01:27"
"0xe75df0466ffab0cb39679840b852615b203c1429",357.412405929073,426.11358998,0,2021-07-21,"2021-07-21 02:01:27"
"0xb4bb3a1360ae65ca773c3d755cc53f298ee5d9ac",290.525473392387,5977.94754592507,2598.31010238488,2021-07-21,"2021-07-21 02:01:27"
"0x2e465ddca6d2c6c81ce6f260ab13148d43e93371",268.395298674214,8300,2195.80529077239,2021-07-21,"2021-07-21 02:01:27"
"0x068cb87542736b049872b4ef9ed7ac9d07f31b41",212.8439432658,685,897.8439432658,2021-07-21,"2021-07-21 02:01:27"
"0xb8ca929e2bd96548cabcabc56cfc9a5147cef0ff",203.002342017417,2000,2203.00234201742,2021-07-21,"2021-07-21 02:01:27"
"0x72032019bd540009eeb082ba3870ecafe443874a",182.448410908491,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x321341d64192e3040424f7f5c16beae44042e004",145.734467468146,10000,10145.7344674681,2021-07-21,"2021-07-21 02:01:27"
"0x534a9ac3d3401f80800375680bded6a84137d296",142.4666890596,11300,3607.5,2021-07-21,"2021-07-21 02:01:27"
"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0",114.877076601867,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x507ae40c169b9433561a1189a8e4637784cba109",111.982204161844,1376.59295011025,0,2021-07-21,"2021-07-21 02:01:27"
"0x68c3494bad6011033d10745144b51890861422e9",94.5068051033919,661.703193030142,76.7031930301424,2021-07-21,"2021-07-21 02:01:27"
"0x95af59e1e27c07362dd85de7430dc4e81736ffe6",93.9309842375373,990.271176273489,318.240028854734,2021-07-21,"2021-07-21 02:01:27"
"0xcaa3a3c852442f06806170d137248bb21ddb0e1b",78.7798713296738,2087.45961129898,0,2021-07-21,"2021-07-21 02:01:27"
