"active","firstLevel","lastLevel","updates","address","hdao_value","percent_of_supply","date","timestamp"
TRUE,1440183,1446391,8,"tz1Rb321A5bMKjQdczUs7TyJBeXjfCtB4mYd",2139.511223,0.32859992136944,2021-08-30,"2021-08-30 00:00:09"
TRUE,1444365,1445749,3,"tz1XVayJ9jFgG9S6fYBBQbMvYKqcAXVza4PE",2062.675307,0.316798966233273,2021-08-30,"2021-08-30 00:00:09"
TRUE,1374706,1645658,725,"tz1ZMDCUyEvsQykWuxTkBzVDcTzMtUEwTeiw",2032.951131,0.31223373573045,2021-08-30,"2021-08-30 00:00:09"
TRUE,1643346,1645330,5,"tz1LmZm7aqx4p9n6qUXpLBSHXFqeGzmje5N6",2021.007542,0.310399362363263,2021-08-30,"2021-08-30 00:00:09"
TRUE,1601092,1601119,2,"tz1dJBxhw57DGBRmYXTdxFsYDW8fCni9Qouf",2000.045967,0.307179948591214,2021-08-30,"2021-08-30 00:00:09"
TRUE,1388169,1458079,374,"tz1MwgPYtc8uccvYgEH4gixazzLLgayRipze",2000,0.307172888683127,2021-08-30,"2021-08-30 00:00:09"
TRUE,1371722,1429088,546,"tz2GLYoq3erGG5ajCxrYjk5aNMeHw4kDtzMV",1996.25,0.306596939516847,2021-08-30,"2021-08-30 00:00:09"
TRUE,1391809,1420912,838,"tz1MCaehYRvrhPWv7HiCYQKyi9WDXbAUZkwv",1908.0295,0.293047466603812,2021-08-30,"2021-08-30 00:00:09"
TRUE,1437988,1643761,9,"tz1ZsgDEU47cRLF5nmDHbx9dWgf4us6GsCxt",1836.692924,0.28209113554447,2021-08-30,"2021-08-30 00:00:09"
TRUE,1421280,1541124,21,"tz1aa2JXS3QEZwXvQDjqEQgARjaNzZaJBYuN",1785.388834,0.27421152278119,2021-08-30,"2021-08-30 00:00:09"
TRUE,1378539,1644099,639,"tz1cjn8DAkb7FsCHMJsJq17uRFWhCrGxnzqd",1775.653328,0.272716281030784,2021-08-30,"2021-08-30 00:00:09"
TRUE,1390743,1428744,227,"tz1R5aLedcRQb9kYyNBS1UXzHR6aQQ3Z5qoq",1679.555,0.257956880526095,2021-08-30,"2021-08-30 00:00:09"
TRUE,1571646,1572840,23,"tz1XjokjRXi68c45WRnncKydZcTiXnvAYYbx",1638.934283,0.25171808903546,2021-08-30,"2021-08-30 00:00:09"
TRUE,1557222,1559158,2,"tz1gJXEKxK6Rrnh4dAJrhotKDVnRSCAgVKn3",1627.710086,0.249994204527641,2021-08-30,"2021-08-30 00:00:09"
TRUE,1413738,1649539,19,"tz1LrMt5RZCQ8yRJYC7BDpy61cAJ2Xqf33Ur",1627.313348,0.249933270948886,2021-08-30,"2021-08-30 00:00:09"
TRUE,1642668,1644251,2,"tz1MrQcNTeFLQGCkN8FYgnWnrtUiNBtkYchK",1607.375654,0.246871111419056,2021-08-30,"2021-08-30 00:00:09"
