"activeStakesCount","createdAt","defaultDisplayName","id","stakesCount","totalRealizedRewards","totalStakedTokens","totalUnstakedTokens","date_utc","date_time_utc"
3,1624695098,NA,"0xe27c6d0626c87faa401dd55f9d8bbc99076273d5",3,"0","5425871441733150000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1611367660,NA,"0xe2772341c3ca68f332ec8d68d13b5ebae3dd26d8",1,"0","7852540000000000000000","7852540000000000000000",2021-08-23,"2021-08-23 20:40:26"
1,1614252906,NA,"0xe26f91cc2984fb61702a218efa715d86e6a70523",1,"0","7960000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1624725799,NA,"0xe26d57e44568539eaccac9b710a3bcfed91406d5",1,"0","1822050551269050000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1609492992,NA,"0xe266ede9308372d493d679830bdb8ed3dbd19b86",1,"84641157395516292057.493504275027","3793661076500000000000","3878302233895516002527",2021-08-23,"2021-08-23 20:40:26"
1,1612144328,NA,"0xe265c9ded5a4201c66c176c6c182c92d2625061e",1,"0","9940506608256150000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1610562448,NA,"0xe25ea0f4ef60f187af261f97842bd7e05fc451a7",1,"61978272527489535979.584443934569","1464269860000000000000","1526248132527489536293",2021-08-23,"2021-08-23 20:40:26"
1,1617037741,NA,"0xe25c670bf7cd1c8f495510b9dcd0a9ba02c0cf54",1,"474531096318045606115.92623268669","186562500000000000000000","25002000000000000017562",2021-08-23,"2021-08-23 20:40:26"
1,1612064899,NA,"0xe25b6d71bab6d363de5a5d20fbfd6e507760d3d0",1,"0","8381092407327400048136","0",2021-08-23,"2021-08-23 20:40:26"
1,1612001007,NA,"0xe25a950b63287fad87ea29a6dbe334c8ac47626a",1,"1352686164486119141159.2217577384","361035750000000000000000","200352686164486100051253",2021-08-23,"2021-08-23 20:40:26"
2,1609161854,"index-africa","0xe2571c87f1433ea06be389e427af2a17bfd37fc0",2,"0","10945000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608418938,NA,"0xe2495bc3e9d5b631112982541afe07f543def36d",1,"0","127360000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1616035800,NA,"0xe23fc47039a4dcc9210634e29224d880d4bda4cd",1,"0","1079575000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1626959978,NA,"0xe23716acb17c54b9a9fa4e5c9009593b9ad23328",1,"0","1950200000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1614728986,NA,"0xe2347fb4499be8c1c92f1309975001c624231606",1,"18355669498784340911.61080493887","20911079897495000000000","20929435566993784339004",2021-08-23,"2021-08-23 20:40:26"
1,1610213373,NA,"0xe22fd96af9e1e863f6669fbdc3604d3d6b81a2a6",1,"0","9950000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1608757116,NA,"0xe2253c9287fcd18a1c52243abeee58a64ec353f4",1,"228966939194403553780.601790352301","7026250143330188180000","7255217082524591735311",2021-08-23,"2021-08-23 20:40:26"
1,1611614769,NA,"0xe2220444f332baf7413fdb2e8c5f327d6269a6e7",2,"2828907090131625397082.7035830366","240457660050000000000000","135535912090131625457748",2021-08-23,"2021-08-23 20:40:26"
1,1611378797,NA,"0xe2093508f41b0bb0dcebd430e246cd2b1c866bbf",1,"0","165833336650000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1619677057,NA,"0xe1fefe8b3d875753b30bc99a0ebab68c01544512",2,"31849635544391386692.6500102619872","2032896282442702488041","2029996267467626596033",2021-08-23,"2021-08-23 20:40:26"
2,1625063446,NA,"0xe1fe52f6afeea63584ec8be13f289c455d2fa480",2,"0","804871919171600000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1615040480,NA,"0xe1fdf832530865f3b7b40c734eb6fdae67903ce4",2,"0","3983980000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1612827827,NA,"0xe1f6aedb670665da166fcf3ac11d7d19dcacd51e",1,"35769751040560938.255429203159618","9956666500000000000000","5000000000000000002",2021-08-23,"2021-08-23 20:40:26"
0,1615015239,NA,"0xe1f52a3616a29bce23e63b45249877b42770e3ac",1,"20081891493668532389.8831025363057","559124431340750000000","579206322834418532171",2021-08-23,"2021-08-23 20:40:26"
0,1619880535,NA,"0xe1ea0f71340993665fe0af4bb23ddead1a270f52",1,"7019202176633271306.860428075166","1747287792553900000000","1754306994730533271592",2021-08-23,"2021-08-23 20:40:26"
0,1608330511,NA,"0xe1e2a52a21226ba37f28ba6cdf59f20156798f94",1,"238529346085812142000","9950000000000000000000","10188529346085812148111",2021-08-23,"2021-08-23 20:40:26"
1,1614136213,NA,"0xe1def189b95209d21b5a50d8cb1ed4b568399c68",1,"0","38212158920900000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1629052418,NA,"0xe1d91878930e724b3427c3a244dd35b82dc406a3",1,"0","1133944644904000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1624054644,NA,"0xe1d23eddf8f0f597a8582d86586999ffc41bb030",1,"2504733989882370636.1912529952735","497563579037350000000","500068313027232370397",2021-08-23,"2021-08-23 20:40:26"
2,1610628026,NA,"0xe1c9d483d68ff3cfb64d686320952d8bce903af8",2,"987783086672599581385.64689426543","191314410462624236631684","90474994009672599629833",2021-08-23,"2021-08-23 20:40:26"
0,1611975279,NA,"0xe1bcf42d6fe973d07a0b3ff2d6485f22c855b7f4",1,"784971149733087144552.09782140741","14960820000000000000000","15745791149733087147449",2021-08-23,"2021-08-23 20:40:26"
1,1612900656,NA,"0xe1b51e85f869d821538aefdd81999b61d8b92872",1,"389061805183279444585.919782197467","116082670000000000000000","8333000000000000000270",2021-08-23,"2021-08-23 20:40:26"
1,1614663073,NA,"0xe1ac4597e5ffaa968f7892d2d36717bba990cdb2",1,"0","5331391475293850000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1612750875,NA,"0xe1a42597c2d2cc2d0237df741d4b071d36ce9e42",1,"0","8332259692805695619057","0",2021-08-23,"2021-08-23 20:40:26"
2,1626976725,NA,"0xe19dce23471f904adf2cef382ef7e4c3042ffb4a",2,"0","681575000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1611898434,NA,"0xe155cf13102063dd32939e75fbf5d03fb2281d2d",1,"0","12242350650000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1608275804,NA,"0xe1541e161c8cbfdff225ecc10c034f6ac4d81cea",1,"1513710949632348958602.80841315965","106054571437935451500000","107568282387567800481095",2021-08-23,"2021-08-23 20:40:26"
1,1626198110,NA,"0xe14bef68353829ddc5f7a771f77b9652d180aac1",1,"0","420718816065150000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1622141031,NA,"0xe14793f6d088a13e5db91a4f6e3ee4f5284134ad",2,"14335871029597922650.5366583250727","622344421100000000000","636680292129597922483",2021-08-23,"2021-08-23 20:40:26"
0,1609289676,NA,"0xe12a0d81032365be592c5b27bf50a482815ea6b8",1,"15280379168317549434.959736601363","2667647917602400000000","2682928296770717550270",2021-08-23,"2021-08-23 20:40:26"
1,1613804382,NA,"0xe127cd2dcae53a6acf623e7e54b45b2252cc74df",1,"0","3233892586036195578720","0",2021-08-23,"2021-08-23 20:40:26"
1,1624771952,NA,"0xe1249c7f7b37907a3115fed43c67f07ebb1675c5",1,"0","24187950370700000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1614045803,NA,"0xe118c6d1cb2105e6fa56efebdd4b4cc88081117b",1,"0","1024738846798800000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1609802693,NA,"0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5",1,"0","607656450000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1609324163,NA,"0xe10b693b648de537c6d07e7938b91d33aa9cb4cf",1,"216393917727924426754.36207577952","11151352741550000000000","11367746659277924008360",2021-08-23,"2021-08-23 20:40:26"
1,1624515051,NA,"0xe1061ade0e3a5a772a396e22655e381b92fe7054",1,"0","2004227060640694432793","0",2021-08-23,"2021-08-23 20:40:26"
1,1610655468,NA,"0xe1018dd3e8964d19882656255a55c2ea0174ecb7",1,"0","12942213750000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1614369183,NA,"0xe0fe58a5b982f5feeb10cafc4c76bc9f9effa81a",1,"582281185202809816421.64308415913","25116437745000000000000","20838432220302320013930",2021-08-23,"2021-08-23 20:40:26"
1,1629542886,NA,"0xe0f7d1aad01ee228d20365e87c519a7d825d24d7",1,"0","313425000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1611767125,NA,"0xe0f79e8af81d8c5673ab964cc362aad4545625e1",1,"185052456195844189272.878065306897","3205626360939400000000","3390678817135244188261",2021-08-23,"2021-08-23 20:40:26"
2,1616264158,NA,"0xe0f79c87d2d9fa976a1adccb01b57e3744065463",2,"0","986508365639450000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1609583231,NA,"0xe0f6841f9e1ed7d1129c41dcb14e00e1339707bf",1,"0","99500000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
3,1614032291,NA,"0xe0ed26ceaf7ffc6b883dd6e54777ef14b015e398",3,"0","20720168550000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608598684,NA,"0xe0e883d3c92831e97241ac4fb0922700e0574d62",3,"351667315551395215031.236927350962","12239455200000000000000","12591122515551395115269",2021-08-23,"2021-08-23 20:40:26"
1,1621392691,NA,"0xe0e4a0ad3b00d6f6a0e719a4af3af2f2499fa573",1,"0","4822118250000000000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1608394418,NA,"0xe0e2dfc3ecf8dde7260c0b1df497dbbf52917787",3,"145102034506293620478.745763345623","28760440026139562400000","8058302060645856022667",2021-08-23,"2021-08-23 20:40:26"
0,1608297726,NA,"0xe0ddee528856195af906eb5c7645ddcb6dbbe1c0",1,"4626978563295333467.5","497500000000000000000","502126978563295333822",2021-08-23,"2021-08-23 20:40:26"
1,1624328860,NA,"0xe0d98c7ae1be735c33936ccdc7c7db573375350b",1,"0","552675430480250000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1610475576,NA,"0xe0d7acd1eed0ac33717a6785bad9e62c9cb5d218",2,"0","85448382413244400951857","0",2021-08-23,"2021-08-23 20:40:26"
2,1608691159,NA,"0xe0d5820bcb4825de67126c1743a7963dd5fc6924",2,"0","7824262100000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608834027,NA,"0xe0c7c1eebc7f326f3493fde47ded1ba63257b19a",2,"39658253447142172383.8662684419","160044925642500000000000","19928713253447142170371",2021-08-23,"2021-08-23 20:40:26"
1,1608319086,"0xfury","0xe0c265b990f6a8ee48ddfb462662787f7b2bf308",1,"0","1913461615000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1618482003,NA,"0xe0c02bda9bb7fdafcc07a94c902b0bf1250c0b46",2,"0","398000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1612056787,NA,"0xe0b18affb1bd9b681f51ce841f1ee1ebe55cd172",1,"216102754662149857359.38406396178","29850435658123200000000","30066538412785349874073",2021-08-23,"2021-08-23 20:40:26"
1,1626084780,NA,"0xe0adead3681f910d308cde9753540abde6381fbb",1,"0","401283500000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1616192442,NA,"0xe0a34ea3edd4741de44c1dc2f6053699da3f8718",1,"0","377857160300000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1613061488,NA,"0xe09f694da87b33632bca61e825eb9e3f54e15170",1,"141946946589925624614.34053149015","6039650000000000000000","6181596946589925621349",2021-08-23,"2021-08-23 20:40:26"
1,1608768185,NA,"0xe08ce97b21d4d92871c00315fe9a984e879d7cbe",1,"0","625602407986600000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1610773226,NA,"0xe07f479415d109563d283f1229bc7a615a5d5c97",2,"69015878359242305720.366561562252","11889255000000000000000","11958270878359242008121",2021-08-23,"2021-08-23 20:40:26"
1,1611424107,NA,"0xe071d86a31cdc84e249c236752886363f55170a9",1,"1316915413370432049870.34331306424","199000000000000000000000","37500000000000000015859",2021-08-23,"2021-08-23 20:40:26"
3,1624720389,NA,"0xe06b69d348028223904bfcd904d7386e75ef80bf",3,"0","184075000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608398213,"stakesquid-2","0xe06899d681922247973437540323d384ae4b3928",1,"82998820225444626984714.84","3542992020000000000000000","1854494830225444628206736",2021-08-23,"2021-08-23 20:40:26"
1,1613109103,NA,"0xe06554ea7093c2f9fe9aca5f454665350e1576cb",1,"0","301485000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1617548152,NA,"0xe060ba6427b7ec4c0cb54ea1c9aaa7eab0f86b5c",1,"532949429576929878890.49072137704","99478110000000000000000","100011059429576929852730",2021-08-23,"2021-08-23 20:40:26"
1,1623433958,NA,"0xe05e5acb201dccb32f41d3e05dc563784ded845f",1,"0","608837096216033822465","0",2021-08-23,"2021-08-23 20:40:26"
1,1611151358,NA,"0xe04ab728bc657ccaef035cadd038617a1bee58de",2,"6583614508454951968.344068032982","10845500000000000000000","1996583614508454952069",2021-08-23,"2021-08-23 20:40:26"
1,1617664269,NA,"0xe0498c989f0a9e6cef05943d0e8562e7d29d6631",1,"0","985032499604996775261","0",2021-08-23,"2021-08-23 20:40:26"
1,1613859176,NA,"0xe03914da0657f1a8ed3f925df74c3e92f537d2a1",1,"0","76538385000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1628970237,NA,"0xe02af565af9a3746dce54c704cb10b48afd7a028",1,"0","686550000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1612504155,NA,"0xe020b3fe8f77ba2ef1f3bd245285c0a37ca03e06",1,"0","5143309646601400000000","0",2021-08-23,"2021-08-23 20:40:26"
4,1625390391,NA,"0xe01c99bba33c53ab3e5acc7dad804ef648b436ed",4,"0","582401969298200000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1615163978,NA,"0xe01843553920f8220ff9fc3a92079cdda85a1c4f",1,"0","889756643378550000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1614738158,NA,"0xe0101a38e2e6e3fc502d27ecdf59f9d2364b7399",1,"0","2487500000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1611524278,NA,"0xe00f3f55b0d30467459ddf2846a60fbe76c5b8a3",2,"2260076493447309704144.3755777379","240457359062500000000000","134968078055947309718075",2021-08-23,"2021-08-23 20:40:26"
1,1619231407,NA,"0xe00eab03587dc734937c8d396b822a000a75f99f",1,"0","3047180441380450000000","0",2021-08-23,"2021-08-23 20:40:26"
3,1608573501,NA,"0xe00a7208ea3fdb63f9e8fd0e4bb1473d29c2b85b",3,"27118634546208223956.619445037939","7735846400000000000165","2500000000000000000165",2021-08-23,"2021-08-23 20:40:26"
1,1608450123,NA,"0xe002deb3b6925f5b51b7478c1b9a1bef8ce483f7",1,"0","1143255000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1608924376,NA,"0xdffa2742f6c795885221f8197717822913f78206",2,"0","21386032500000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1610503068,NA,"0xdff92a1d3c7832cbcc762ee5f326679dd801648e",1,"2102776450316794591140.4875","24566450500000000000000","26669226950316794598007",2021-08-23,"2021-08-23 20:40:26"
1,1612524385,NA,"0xdfe7cac7dfcadf23eeb7749d0abae4b2e5e211ba",1,"0","19900000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1625802229,NA,"0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781",2,"0","597000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
0,1610089572,NA,"0xdfdeb1b8f41ef5ede7c5564a03ba4eaccef4ac27",1,"118349323734244556850","9950000000000000000000","10068349323734244557159",2021-08-23,"2021-08-23 20:40:26"
1,1610854071,NA,"0xdfdc31c70350c1b0415d610fb67f645e3f2c6903",1,"9851611774615818552.099566197467","3067295754578735451354","3077147366353351000090",2021-08-23,"2021-08-23 20:40:26"
1,1613411857,NA,"0xdfcf69c8fed25f5150db719bad4efab64f628d31",1,"0","1057778084461824958381","0",2021-08-23,"2021-08-23 20:40:26"
0,1612066668,NA,"0xdfc6a040b5905a3b82d63f19894b9bb8a85a1cba",2,"290336166124637323090.1862411631","8911179038093418062151","9201515204218055389149",2021-08-23,"2021-08-23 20:40:26"
1,1626137440,NA,"0xdfc690749dc73fd3ae625eec5aee98c4d4a32f59",1,"0","998004900000000000000","0",2021-08-23,"2021-08-23 20:40:26"
