"averageCostBasis","id","signal","signalledTokens","unsignalledTokens","pricePerShare","subgraphID","shareValue","TotalProfitLoss","address","date_utc","date_time_utc"
5,"0x30eba9b8a2a504902b5145effae09cb273ce8ef7-0xfcb576bc8ee187945fa00f0daa7bbe9c1b51b0c9-1",0.0146614372152021,5,0,321.972923181087,5.49915777937374e+76,4.7205857982146,-0.279414201785401,"0x30eba9b8a2a504902b5145effae09cb273ce8ef7",2021-07-21,"2021-07-21 02:00:09"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0x03c65e533cc73cc65cd71a0cb65efa4b11e74c22-1",0,300,292.5,NA,NA,NA,NA,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0x03c65e533cc73cc65cd71a0cb65efa4b11e74c22-2",0,300,292.5,NA,NA,NA,NA,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
300,"0x16079ab5ec309c30b558af65e439c64b137091f0-0x21f7db7daa3f03100eb6ad36f79e20972a79e6c0-0",2.17231900848943,300,0,139.781973086661,6.23688458898751e+76,303.651037180311,3.65103718031111,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0x24d123ddacfed44e253559446879da7cbdfe6d92-0",0,500,4164.132165618,155.501766580497,5.93336410889193e+76,0,3664.132165618,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
300,"0x16079ab5ec309c30b558af65e439c64b137091f0-0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-0",4.37697624584381,300,0,309.205138422608,2.47399347963884e+75,1353.3835459686,1053.3835459686,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0xab68e92b6e19e0d570a13d251d1ea8d029f711cb-0",0,300,292.5,116.833214455479,7.87824963376073e+76,0,-7.5,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
4000,"0x16079ab5ec309c30b558af65e439c64b137091f0-0xc320812b4bbb7f2369ee1316fd703de403ad0d2e-2",62.449979983984,4000,0,124.899959967968,6.40948765261351e+76,7800,3800,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
500,"0x16079ab5ec309c30b558af65e439c64b137091f0-0xd9d50c3cfcdd4d89c76d1ab5e7ead7d3d632e283-0",22.0794021658196,500,0,55.8352003988581,1.11947681067426e+77,1232.80784461552,732.807844615521,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0xefe232372e2e30951fa90d7a800d5938eedc935d-2",0,300,292.5,NA,NA,NA,NA,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0xefe232372e2e30951fa90d7a800d5938eedc935d-3",0,300,292.5,NA,NA,NA,NA,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x16079ab5ec309c30b558af65e439c64b137091f0-0xefe232372e2e30951fa90d7a800d5938eedc935d-4",0,300,292.5,NA,NA,NA,NA,"0x16079ab5ec309c30b558af65e439c64b137091f0",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x03c65e533cc73cc65cd71a0cb65efa4b11e74c22-0",0,3500,3412.5,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x03c65e533cc73cc65cd71a0cb65efa4b11e74c22-1",0,3500,3412.5,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x03c65e533cc73cc65cd71a0cb65efa4b11e74c22-6",0,3500,3412.5,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
3500,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x1f90acb4cdb238858c7347c9fbd8a1c44caa7928-0",58.4166072277396,3500,0,116.833214455479,8.02328976491983e+75,6825,3325,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
